Id,SalePrice_real,SalePrice_predicho
304,149900.0,126113.0407678304
1146,149000.0,123906.04645407267
32,149350.0,144577.6392697192
925,207500.0,201799.28385114687
890,149500.0,169229.52898740995
1214,145000.0,146861.19402638107
1406,275000.0,282124.878530769
1138,94000.0,91357.13926765858
840,130500.0,128377.16072105532
297,152000.0,134347.76959359605
619,314813.0,319671.61499701906
1256,127500.0,125318.3701594912
171,128500.0,134783.82878778796
486,147000.0,147401.4833912171
1190,189000.0,184538.7861132286
944,143000.0,137138.06661022519
11,129500.0,126486.58602084045
765,270000.0,250236.4176366197
820,224000.0,228162.62664312762
1455,185000.0,198803.95440682507
130,150000.0,122307.84944314664
332,139000.0,139988.6529609395
324,126175.0,134051.2624761514
136,174000.0,177050.08674412005
436,212000.0,234563.45758810785
159,254900.0,228405.77713966588
567,325000.0,330917.5492905963
611,313000.0,305584.78107789624
157,109500.0,112682.9226919562
353,95000.0,95193.25700730499
711,52000.0,65104.343608723626
179,501837.0,509766.9173300788
1457,210000.0,224742.83199484134
887,145000.0,142703.8565300219
291,233230.0,247626.268038108
319,260000.0,326790.1582735996
819,155000.0,159607.1819515207
886,328900.0,278236.5848297012
1236,138887.0,148341.36545409227
1337,135000.0,132335.44943700038
6,143000.0,143279.22732404008
1240,265900.0,222009.28975793044
243,79000.0,90793.83769683514
715,130500.0,180885.7710583205
1104,159500.0,159056.41657543846
377,148000.0,137570.0486000504
320,187500.0,200726.77979684947
67,180000.0,245031.27594265324
1000,206000.0,193049.5491791913
86,260000.0,269444.63209316425
669,168000.0,158353.5771317691
1056,180000.0,160549.2436152982
1281,227000.0,211045.5282821449
56,180500.0,167376.84991840128
744,175000.0,147454.3628425486
466,178740.0,169334.41371994658
281,228500.0,212526.4481342934
205,110000.0,114868.94893844817
946,124900.0,159146.0933123904
106,250000.0,251235.42587250215
725,320000.0,317990.3759724143
1008,88000.0,86506.08892017405
1192,174000.0,162707.9627446398
250,277000.0,281680.10935024376
1053,165000.0,163875.51127953402
95,204750.0,197168.63967560077
717,159500.0,203396.49503308418
1113,129900.0,112875.89137950067
971,135000.0,83487.58005763125
1051,176485.0,177583.34695319194
781,176000.0,157157.058256271
942,214000.0,205225.07409445528
945,137500.0,139819.91985150962
105,169500.0,141968.50882571712
965,214900.0,226023.640270156
450,120000.0,125657.82415148747
256,230000.0,214105.6336614263
1169,235000.0,209457.44419032353
1403,193879.0,184286.06990553183
1454,84500.0,134872.42555945815
1088,252000.0,263298.61478103057
532,128000.0,116444.40274104048
227,290000.0,271138.1970237371
229,125000.0,107943.57797611144
865,250580.0,207593.13933757803
348,157500.0,183035.37973811018
1380,167500.0,161592.1235109893
451,110000.0,99644.82799999806
935,242000.0,298416.3266611205
913,88000.0,98836.40172833242
588,137000.0,129571.97944597807
751,96500.0,90192.1508189641
843,174900.0,162053.39657151923
733,222500.0,223624.7363483958
223,179900.0,174921.9731033599
693,335000.0,300527.42032075254
39,109000.0,130844.07087443807
569,316600.0,272612.96474568965
891,122900.0,113958.74511223666
69,80000.0,78782.00869758546
384,76000.0,85447.51765122991
1030,118000.0,114602.43368220523
342,82000.0,73313.91572471519
273,290000.0,322767.60175882664
873,116000.0,106466.45733071146
1346,108500.0,90457.52273014904
978,199900.0,194755.8323220414
1162,224000.0,227216.98826689582
689,392000.0,278150.79077583365
739,179000.0,152229.2893929303
192,184000.0,194744.9674975364
394,100000.0,69569.50437814106
420,142000.0,142698.1280450366
413,222000.0,268958.04424744577
23,230000.0,223185.52458934896
1012,100000.0,79183.12769827244
697,89000.0,83507.49824395421
802,109900.0,108130.08927435358
634,139400.0,138574.50742242546
1303,290000.0,310305.4081503433
654,135000.0,137872.9312294412
321,342643.0,354807.39985005616
1310,179200.0,158880.3359774779
785,128000.0,124145.80610722167
155,125000.0,95294.85706285389
962,272000.0,268318.0392382418
570,135960.0,140804.1422094265
1400,137450.0,142993.33382818723
1432,143750.0,146017.80489318055
607,152000.0,152791.5996746328
181,177000.0,157134.72967446325
497,430000.0,490063.8951016728
17,149000.0,162217.88540495542
659,97500.0,123838.47953601403
438,119000.0,122316.27625159235
470,187000.0,138761.87801423867
1344,177000.0,182400.12889181008
1159,235128.0,235364.26418275636
801,200000.0,220685.92391957296
1187,95000.0,100510.77930705514
1379,83000.0,94668.3665962808
473,148000.0,143130.54385557983
403,108000.0,104516.39864113065
752,162000.0,154604.69349128506
294,235000.0,233678.3364505345
123,136000.0,138163.07441980825
1208,200000.0,214622.99934328796
1154,120500.0,112170.00597878855
385,240000.0,274331.70661158103
649,155000.0,161168.09049400463
1283,150500.0,142910.17607157855
1255,165400.0,189514.45594262288
1013,165000.0,161079.55985684224
1110,280000.0,320709.8841214084
749,260400.0,251668.87846980477
96,185000.0,195531.9785370901
1021,176000.0,162986.8689329451
864,132500.0,148597.804683017
871,109500.0,97844.14342451733
1057,185850.0,216268.79857296916
201,140000.0,145504.3119781147
135,180000.0,179064.0427154492
392,215000.0,237356.6255163042
764,337000.0,328466.9651557804
1077,170000.0,169644.83167727356
720,128500.0,125023.57296566293
402,164990.0,182152.82817727013
1026,112500.0,116765.95126886456
35,277500.0,288668.78129995224
776,162000.0,161206.15563436568
509,161000.0,180606.59549989222
92,98600.0,107053.13322162659
777,221500.0,226973.3806151458
167,190000.0,167719.499007402
841,140000.0,152190.3438547104
861,189950.0,163034.2921930035
